ADM0_CODE;ADM0;ADM1_CODE;ADM1;ADM2_CODE;ADM2;AREA_SQKM;ROAD_DENSITY;POPULATION;GDP_2019;GDP_2022;LAND_USE;DISASTERS
NI;Nicaragua;NI55;Managua;NI5530;Ticuantepe;64,43464543;0,262953635;51826,68757;9202;9823;2;5
NI;Nicaragua;NI35;León;NI3505;Achuapa;391,1774791;0,202499032;15289,1993;4010;4198;11;2
NI;Nicaragua;NI80;Rivas;NI8045;San Juan del Sur;416,0256941;0,112933151;17604,27938;3615;3895;2;7
NI;Nicaragua;NI55;Managua;NI5535;San Rafael del Sur;361,9290744;0,160889771;16665,60916;3015;3580;11;8
NI;Nicaragua;NI91;Región Autónoma Costa Caribe Norte;NI9107;Waspam;8704,019174;0,04156687;55700,81132;3388;3681;2;11
NI;Nicaragua;NI40;Matagalpa;NI4015;El Tuma - La Dalia;647,7133842;0,162883264;84991,60904;3853;3827;2;7
NI;Nicaragua;NI30;Chinandega;NI3035;Somotillo;722,1050475;0,100405481;39256,97609;4334;4627;11;13
NI;Nicaragua;NI75;Carazo;NI7515;Dolores;2,800731221;0,679588064;7791,476464;6101;6683;7;1
NI;Nicaragua;NI05;Nueva Segovia;NI0515;Jícaro;428,5568786;0,150911737;32314,73749;5427;5883;11;0
NI;Nicaragua;NI91;Región Autónoma Costa Caribe Norte;NI9106;Siuna;3535,658025;0,078458951;94296,57161;3765;3936;2;16
NI;Nicaragua;NI91;Región Autónoma Costa Caribe Norte;NI9120;Bonanza;1920,596042;0,034394745;143706,1916;3279;3529;2;7
NI;Nicaragua;NI85;Río San Juan;NI8530;San Juan de Nicaragua;1652,83877;0;11725,59098;4132;4326;2;3
NI;Nicaragua;NI30;Chinandega;NI3065;Posoltega;149,2054047;0,061099528;19550,72289;5559;5914;5;7
NI;Nicaragua;NI30;Chinandega;NI3015;Cinco Pinos;60,57921672;0,22031956;8093,670568;4229;4175;11;5
NI;Nicaragua;NI80;Rivas;NI8020;Buenos Aires;63,62197874;0,322529739;5736,349065;3813;4104;5;1
NI;Nicaragua;NI20;Madriz;NI2010;Totogalpa;148,8749823;0,115960516;16542,27237;4124;4437;11;7
NI;Nicaragua;NI70;Granada;NI7005;Diriá;24,49214883;0,033736325;7700,082028;4427;4897;2;2
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9310;La Cruz de Río Grande;3327,784996;0,106215773;56234,86494;3440;3697;2;3
NI;Nicaragua;NI40;Matagalpa;NI4065;Ciudad Darío;731,2133351;0,154591099;47950,71112;2780;3218;11;4
NI;Nicaragua;NI05;Nueva Segovia;NI0505;Jalapa;656,3929366;0,088314524;78651,06542;2977;3119;2;10
NI;Nicaragua;NI20;Madriz;NI2005;Somoto;466,0389597;0,15659626;42607,98015;4838;5230;11;20
NI;Nicaragua;NI30;Chinandega;NI3000;San Francisco del Norte;119,4610829;0,180808822;6987,03319;7206;7528;11;3
NI;Nicaragua;NI05;Nueva Segovia;NI0520;San Fernando;232,466788;0,152608453;14270,10486;4325;4411;2;12
NI;Nicaragua;NI10;Jinotega;NI1010;El Cuá;775,5337914;0,068947558;72682,1246;3074;3624;2;0
NI;Nicaragua;NI40;Matagalpa;NI4055;San Dionisio;169,1217815;0,085220574;18406,39643;3713;4000;11;3
NI;Nicaragua;NI75;Carazo;NI7520;Diriamba;352,4389068;0,199785336;68824,66822;4719;5034;11;9
NI;Nicaragua;NI40;Matagalpa;NI4040;Matiguás;1529,814086;0,101084117;47020,94654;2433;2674;2;4
NI;Nicaragua;NI60;Masaya;NI6045;Niquinohomo;31,86988415;0,097130745;17693,56483;7886;8214;2;1
NI;Nicaragua;NI60;Masaya;NI6020;La Concepción;67,25460484;0,117414112;39868,70634;6906;7640;2;4
NI;Nicaragua;NI40;Matagalpa;NI4020;San Isidro;291,0761729;0,157054264;24324,39982;6069;6608;11;2
NI;Nicaragua;NI50;Boaco;NI5005;San José de Los Remates;282,8424716;0,153710137;9839,227925;4132;4326;11;3
NI;Nicaragua;NI80;Rivas;NI8010;Belén;249,3821449;0,23431817;17239,47998;4719;5274;11;2
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9340;Bluefields;4575,263557;0,028815564;55284,57615;3195;3421;2;22
NI;Nicaragua;NI55;Managua;NI5510;Tipitapa;972,6028407;0,157324989;9670,492784;4736;5176;11;17
NI;Nicaragua;NI05;Nueva Segovia;NI0555;Quilalí;349,1875589;0,223281972;38475,42205;6360;6886;2;7
NI;Nicaragua;NI50;Boaco;NI5020;Santa Lucía;122,5831725;0,17762343;9367,958672;3712;4006;11;1
NI;Nicaragua;NI85;Río San Juan;NI8515;San Miguelito;1091,427981;0,073458402;23901,51118;4719;5034;2;1
NI;Nicaragua;NI65;Chontales;NI6525;Santo Tomás;495,5726856;0,167692603;9309,589967;3327;3566;2;3
NI;Nicaragua;NI40;Matagalpa;NI4025;Sébaco;290,0019615;0,140914153;52820,36959;4229;4175;11;11
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9345;Nueva Guinea;2677,155002;0,054565971;22540,90662;3328;3557;2;18
NI;Nicaragua;NI55;Managua;NI5540;Ciudad Sandino;48,45986092;0,206925187;1127683,335;9202;9823;7;4
NI;Nicaragua;NI60;Masaya;NI6030;Nandasmo;15,43183574;0,16001964;16931,60606;8629;9546;2;2
NI;Nicaragua;NI75;Carazo;NI7525;El Rosario;14,07832707;0;8772,219839;7886;8214;2;0
NI;Nicaragua;NI10;Jinotega;NI1005;Wiwilí de Jinotega;2407,964509;0,030004428;99312,36688;3075;3345;2;9
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9320;El Rama;3733,755326;0,134103427;66430,39095;3289;3522;2;8
NI;Nicaragua;NI65;Chontales;NI6515;La Libertad;772,4063768;0,120852282;11726,85964;3853;4260;2;2
NI;Nicaragua;NI35;León;NI3520;El Jicaral;436,6460261;0,156031727;12065,0513;3501;3741;11;7
NI;Nicaragua;NI93;Región Autónoma de la Costa Caribe Sur;NI9325;Muelle de Los Bueyes;1393,917664;0,125540406;11990,32771;3338;3574;2;0
NI;Nicaragua;NI35;León;NI3545;La Paz Centro;689,776126;0,126863381;29556,86805;3737;3990;11;14
NI;Nicaragua;NI55;Managua;NI5505;San Francisco Libre;670,5140669;0,174588553;75111,42139;3551;3790;11;6
NI;Nicaragua;NI35;León;NI3525;Larreynaga;746,4552899;0,154553044;25375,80727;4205;4454;11;12
