Año;Serial;Evento;ADM1_CODE;ADM1;ADM2_CODE;ADM2;LUGAR;Fecha;Observaciones;Causa;Descripción de la Causa;Fuente;Magnitud;Número GLIDE;Otros sectores;Fichas;Muertos;Heridos;Desaparecidos;Viviendas Destruídas;Viviendas Afectadas;Damnificados;Afectados;Reubicados;Evacuados;Pérdidas $USD;Pérdidas $Local;Centros Educativos;Centros Médicos;Daños cultivos Ha
1992;1992-00001;FIRE;6;Managua;605;Managua;Cooperativa de Transporte Nicarao;1992/2/10;Incendio deja pérdidas de dos buses Mercedes Benz, un carro Renoult, 150 llantas nuevas.;UNKNOWN;;La Prensa 1992-02-11 P.6;;;;1;;;;1;;5;;;;;;;;
1992;1992-00002;DROUGHT;1;Nueva Segovia;107;Macuelizo;Dos municipios de Nueva Segovia: Macuelizo y Santa Clara;1992/2/26;En Macuelizo y Santa Clara, diez mil habitantes padecen hambre, a causa que perdieron todos sus cultivos, especificamente los granos básicos.. Datos proporionados por la fuente.;ATMOSPHCONDITION;Estación seca prolongada en Nueva Segovia;La Prensa 1992-02-27 P.16;;;;1;;;;;;;10000;;;;;;;
1992;1992-00003;DROUGHT;10;Rivas;1008;Rivas;Cooperativas agrícolas: Comandante 380, Juan Dávila, Juan Ma;1992/3/5;Cooperativas Agrícolas de Rivas, se declaran en quiebra por las pérdidas de 8000 manzanas de musáceos, provocados por la sequía y vientos huracanados. Tambien pérdieron los cultivos de granos básicos, la cosecha de aguacates y jócotes.;ATMOSPHCONDITION;Estación seca prolongada en Rivas.;La Prensa 1992-03-06 P.10;;;;1;;;;;;;;;;;;;;5591,16
1992;1992-00004;FORESTFIRE;4;Chinandega;409;Chinandega;Municipio de Chinadega, Cerro El Chonco.;1992/4/2;Incendio forestal acabó con 35 hectáreas reforestadas de un Proyecto FAO - IRENA.;BEHAVIOR;Malos habitos, agrícultor le pegó fuego a un potrero y se ex;La Prensa 1992-04-03 P.9;;;;1;;;;;;;;;;100000;500000;;;35
1992;1992-00005;ERUPTION;5;León;508;León;Comarcas aledañas al volcán Cerro Negro. Lechecuagos, Palo d;1992/4/9;"15 mil personas evacuadas de las comarcas aledañas al volcán en un radio de acción de cinco kilometros alrededor del volcán. Se perdieron 20 mil manzanas de tierras que estaban destinadas para los cultivos de yuca, sorgo, frijol rojo, y blanco;  seis mil manzanas eran para sembrar trigo y sorgo, 10 mil manzanas de tierras estaban preparadas para la siembra de cañas. de azúcar, quedaron cubiertas de arena y cenizas expulsadas por el volcá. Datos reflejados por la fuente.";OTHER;;La Prensa 1992-04-10 P.1,04-11 P.1,P.2;;;;1;;;;;;;;;15000;;;;;25160,25
1992;1992-00006;ERUPTION;5;León;508;León;Municipio de León;1992/4/21;Comité de Emergencia informa que 50000 personas fueron afectadas, 15000 damnificadas, 150 lesionados, 4500 campesinos agrícolas no podrán volver a trabajr sus tierras quedaron cubiertas de arena y cenizas, inservibles para los cultivos. 6844 hectáreas de tierras no cultivables, 13822 hectáreas de cultivos pérdidos. 2418 algodón, 1244 yuca, 1877 ajonjolí, 534 caña de azúcar, 408 maiz, 271 trigo, 195 sorgo   y 31 de frijoles.  30 mil personas en León trabajaran por comida limpiado las calles.Datos proporcionados por la fuente.;OTHER;;La Prensa 1992-04-22 P.21;;;;1;;150;;;;15000;50000;;;;;;;13822
1992;1992-00007;FLOOD;2;Madriz;201;Somoto;Aguas Caliente;1992/5/2;Una niña murió con las intensas lluvias en Somoto, carretera Panamericana se inundó, obstaculizando el tráfico. Datos proporcionados por la fuente.;RAIN;Intensas lluvias en Somoto;La Prensa 1992-05-03 P.2;;;;1;1;;;;;;;;;;;;;
1992;1992-00008;STORM;2;Madriz;202;Totogalpa;En Totogalpa;1992/5/21;Los datos de afectados se dedujo de multiplicar por cinco la vivienda afectada por los fuertes vientos que le arrancó el techo.;ATMOSPHCONDITION;Lluvia acompañada de fuertes vientos en Totogalpa.;La Prensa 1992-05-22 P.9;;;;1;;;;;1;;5;;;;;;;
1992;1992-00009;FLOOD;2;Madriz;206;Yalagüina;En el poblado de Yalagüina;1992/5/30;Desbordamiento de río causó inundación en 12 casas de Yalagüina, los datos de afectados se dedujo de multiplicar por cinco las 12 viviendas afectadas.;OVERFLOW;Se desbordó el río de Yalagüina.;La Prensa 1992-05-31 P.13;;;;1;;;;;12;;60;;;;;;;
1992;1992-00010;DROUGHT;10;Rivas;1008;Rivas;Comunidades de San Rafael y Los Cerros;1992/5/10;En Rivas la sequía afectó a 2000 personas, secó un centenar de fuentes de agua. Datos reflejados por la fuente.;ATMOSPHCONDITION;Estación seca prolongada en el Sur de Nicaragua.;La Prensa 1992-05-11;;;;1;;;;;;;2000;;;;;;;
